paper_id,title,publication_date,journal,authors,citation_count,concepts
W1981983416,Advances in quantum metrology,2011-03-31,N/A,"Vittorio Giovannetti, Seth Lloyd, Lorenzo Maccone",3326,https://openalex.org/C95013731|Quantum metrology|0.9012519;https://openalex.org/C195766429|Metrology|0.7600492;https://openalex.org/C121040770|Quantum entanglement|0.68396705;https://openalex.org/C11577676|Square root|0.59570616;https://openalex.org/C89143813|Quantum sensor|0.5872512;https://openalex.org/C121864883|Statistical physics|0.57214224;https://openalex.org/C9652623|Field (mathematics)|0.55031735;https://openalex.org/C84114770|Quantum|0.47585604;https://openalex.org/C99498987|Noise (video)|0.46475306;https://openalex.org/C180214583|Quantum limit|0.45313635;https://openalex.org/C28719098|Point (geometry)|0.42679584;https://openalex.org/C41008148|Computer science|0.39948514;https://openalex.org/C121332964|Physics|0.3595717;https://openalex.org/C33923547|Mathematics|0.3290053;https://openalex.org/C62520636|Quantum mechanics|0.30548626;https://openalex.org/C139356082|Quantum discord|0.13309446;https://openalex.org/C154945302|Artificial intelligence|0.12348375;https://openalex.org/C186468114|Quantum network|0.1182453;https://openalex.org/C2524010|Geometry|0.0;https://openalex.org/C202444582|Pure mathematics|0.0;https://openalex.org/C115961682|Image (mathematics)|0.0
W1970948459,Gaussian quantum information,2012-05-01,N/A,"Christian Weedbrook, Stefano Pirandola, Raúl García−Patrón, Nicolas J. Cerf, Timothy C. Ralph, Jeffrey H. Shapiro, Seth Lloyd",3110,https://openalex.org/C169699857|Quantum information|0.67979884;https://openalex.org/C5320026|Quantum information science|0.5807478;https://openalex.org/C187486625|Quantum channel|0.5618582;https://openalex.org/C121332964|Physics|0.55793023;https://openalex.org/C91717678|Quantum teleportation|0.5457184;https://openalex.org/C186468114|Quantum network|0.54255325;https://openalex.org/C190474826|Open quantum system|0.5257821;https://openalex.org/C58053490|Quantum computer|0.5130397;https://openalex.org/C190463098|Quantum technology|0.5095916;https://openalex.org/C144901912|Quantum cryptography|0.49614438;https://openalex.org/C41241483|Quantum capacity|0.44974473;https://openalex.org/C203087015|Qubit|0.43707603;https://openalex.org/C51003876|Quantum error correction|0.42432767;https://openalex.org/C137019171|Quantum algorithm|0.41908413;https://openalex.org/C121864883|Statistical physics|0.40663877;https://openalex.org/C62520636|Quantum mechanics|0.3861794;https://openalex.org/C84114770|Quantum|0.33402193;https://openalex.org/C121040770|Quantum entanglement|0.2653719
W2092105345,Quantum Repeaters: The Role of Imperfect Local Operations in Quantum Communication,1998-12-28,N/A,"H. J. Briegel, Wolfgang Dür, J. I. Cirac, P. Zoller",3071,https://openalex.org/C41008148|Computer science|0.6520028;https://openalex.org/C187486625|Quantum channel|0.6250611;https://openalex.org/C2779960059|Overhead (engineering)|0.6227937;https://openalex.org/C39927690|Logarithm|0.62260497;https://openalex.org/C2780310539|Imperfect|0.5848534;https://openalex.org/C41241483|Quantum capacity|0.58180624;https://openalex.org/C2776459999|Fidelity|0.5618481;https://openalex.org/C5320026|Quantum information science|0.50462425;https://openalex.org/C84114770|Quantum|0.49358547;https://openalex.org/C195545963|Repeater (horology)|0.49012932;https://openalex.org/C127162648|Channel (broadcasting)|0.4853834;https://openalex.org/C157486923|String (physics)|0.44768265;https://openalex.org/C51003876|Quantum error correction|0.43101412;https://openalex.org/C169699857|Quantum information|0.35059267;https://openalex.org/C184720557|Topology (electrical circuits)|0.34162778;https://openalex.org/C80444323|Theoretical computer science|0.321408;https://openalex.org/C186468114|Quantum network|0.3169448;https://openalex.org/C121332964|Physics|0.31620637;https://openalex.org/C121040770|Quantum entanglement|0.2921622;https://openalex.org/C62520636|Quantum mechanics|0.24684423;https://openalex.org/C33923547|Mathematics|0.24319562;https://openalex.org/C76155785|Telecommunications|0.22284493;https://openalex.org/C114614502|Combinatorics|0.07838768;https://openalex.org/C125411270|Encoding (memory)|0.07528752;https://openalex.org/C41895202|Linguistics|0.0;https://openalex.org/C138885662|Philosophy|0.0;https://openalex.org/C134306372|Mathematical analysis|0.0;https://openalex.org/C154945302|Artificial intelligence|0.0;https://openalex.org/C111919701|Operating system|0.0
W32507011,Quantum Computation and Quantum Information: 10th Anniversary Edition,2011-01-31,N/A,"Michael A. Nielsen, Isaac L. Chuang",3006,https://openalex.org/C58053490|Quantum computer|0.7333258;https://openalex.org/C169699857|Quantum information|0.62435704;https://openalex.org/C5320026|Quantum information science|0.53885883;https://openalex.org/C41008148|Computer science|0.50794846;https://openalex.org/C144901912|Quantum cryptography|0.4909506;https://openalex.org/C190463098|Quantum technology|0.45768726;https://openalex.org/C137019171|Quantum algorithm|0.4385694;https://openalex.org/C186468114|Quantum network|0.4323613;https://openalex.org/C190474826|Open quantum system|0.42510337;https://openalex.org/C84114770|Quantum|0.3882995;https://openalex.org/C80444323|Theoretical computer science|0.37937233;https://openalex.org/C62520636|Quantum mechanics|0.374624;https://openalex.org/C33332235|Theoretical physics|0.3616168;https://openalex.org/C121332964|Physics|0.32790577;https://openalex.org/C121040770|Quantum entanglement|0.16198611
W1999664967,Quantum-Enhanced Measurements: Beating the Standard Quantum Limit,2004-11-18,N/A,"Vittorio Giovannetti, Seth Lloyd, Lorenzo Maccone",2657,https://openalex.org/C180214583|Quantum limit|0.882223;https://openalex.org/C2778361524|Heisenberg limit|0.7625971;https://openalex.org/C95013731|Quantum metrology|0.7093519;https://openalex.org/C121040770|Quantum entanglement|0.63057935;https://openalex.org/C121332964|Physics|0.6103786;https://openalex.org/C62520636|Quantum mechanics|0.5877485;https://openalex.org/C181543814|Uncertainty principle|0.55733335;https://openalex.org/C84114770|Quantum|0.5524897;https://openalex.org/C89143813|Quantum sensor|0.5398099;https://openalex.org/C151201525|Limit (mathematics)|0.5041152;https://openalex.org/C22984246|Quantum imaging|0.49324626;https://openalex.org/C139356082|Quantum discord|0.4334629;https://openalex.org/C121864883|Statistical physics|0.32116783;https://openalex.org/C186468114|Quantum network|0.20337391;https://openalex.org/C33923547|Mathematics|0.15863815;https://openalex.org/C134306372|Mathematical analysis|0.06553346
W2781738013,Quantum Computing in the NISQ era and beyond,2018-08-06,N/A,John Preskill,2647,https://openalex.org/C58053490|Quantum computer|0.82179284;https://openalex.org/C41008148|Computer science|0.69228435;https://openalex.org/C203087015|Qubit|0.605751;https://openalex.org/C58849907|Quantum gate|0.55684066;https://openalex.org/C113775141|Computer engineering|0.49705747;https://openalex.org/C186468114|Quantum network|0.48250675;https://openalex.org/C51003876|Quantum error correction|0.47997332;https://openalex.org/C169699857|Quantum information|0.4790974;https://openalex.org/C84114770|Quantum|0.46458796;https://openalex.org/C137019171|Quantum algorithm|0.44964373;https://openalex.org/C124148022|Quantum circuit|0.44180024;https://openalex.org/C190463098|Quantum technology|0.4240069;https://openalex.org/C80444323|Theoretical computer science|0.38491845;https://openalex.org/C459310|Computational science|0.34072828;https://openalex.org/C190474826|Open quantum system|0.22391024;https://openalex.org/C121332964|Physics|0.18849343;https://openalex.org/C62520636|Quantum mechanics|0.16343868
W1514675880,Linear optical quantum computing with photonic qubits,2007-01-24,N/A,"Pieter Kok, William J. Munro, Kae Nemoto, Timothy C. Ralph, Jonathan P. Dowling, G. J. Milburn",2573,https://openalex.org/C121332964|Physics|0.7622192;https://openalex.org/C58053490|Quantum computer|0.7373213;https://openalex.org/C203087015|Qubit|0.69387823;https://openalex.org/C48044578|Scalability|0.541662;https://openalex.org/C51003876|Quantum error correction|0.50676614;https://openalex.org/C159317903|Photon|0.49616536;https://openalex.org/C20788544|Photonics|0.45984873;https://openalex.org/C62520636|Quantum mechanics|0.44837272;https://openalex.org/C2780385302|Protocol (science)|0.43053803;https://openalex.org/C186468114|Quantum network|0.42515767;https://openalex.org/C45374587|Computation|0.42403182;https://openalex.org/C190463098|Quantum technology|0.4183214;https://openalex.org/C19271316|One-way quantum computer|0.41707623;https://openalex.org/C184720557|Topology (electrical circuits)|0.35650444;https://openalex.org/C84114770|Quantum|0.33884436;https://openalex.org/C190474826|Open quantum system|0.2925288;https://openalex.org/C41008148|Computer science|0.27380475;https://openalex.org/C11413529|Algorithm|0.2604589;https://openalex.org/C119599485|Electrical engineering|0.07269934;https://openalex.org/C71924100|Medicine|0.0;https://openalex.org/C204787440|Alternative medicine|0.0;https://openalex.org/C142724271|Pathology|0.0;https://openalex.org/C77088390|Database|0.0;https://openalex.org/C127413603|Engineering|0.0
W2037522026,Manipulating quantum entanglement with atoms and photons in a cavity,2001-08-28,N/A,"J. M. Raimond, M. Brune, S. Haroche",2525,https://openalex.org/C121332964|Physics|0.88612396;https://openalex.org/C121040770|Quantum entanglement|0.7606814;https://openalex.org/C62520636|Quantum mechanics|0.6900871;https://openalex.org/C122527463|Quantum decoherence|0.58426607;https://openalex.org/C20593774|W state|0.5341664;https://openalex.org/C159317903|Photon|0.52707;https://openalex.org/C91717678|Quantum teleportation|0.5122768;https://openalex.org/C169699857|Quantum information|0.48986813;https://openalex.org/C190463098|Quantum technology|0.4783111;https://openalex.org/C74939445|Cavity quantum electrodynamics|0.46097934;https://openalex.org/C190474826|Open quantum system|0.4375245;https://openalex.org/C89143813|Quantum sensor|0.4369519;https://openalex.org/C139356082|Quantum discord|0.41545182;https://openalex.org/C84114770|Quantum|0.3783853;https://openalex.org/C186468114|Quantum network|0.3696419
W1995672555,Quantum dynamics of single trapped ions,2003-03-10,N/A,"D. Leibfried, R. Blatt, C. Monroe, D. J. Wineland",2473,https://openalex.org/C121332964|Physics|0.89711106;https://openalex.org/C145148216|Ion|0.6163032;https://openalex.org/C84114770|Quantum|0.58816534;https://openalex.org/C91275184|Laser cooling|0.53466755;https://openalex.org/C520434653|Laser|0.5101271;https://openalex.org/C68717125|Quantum optics|0.47926164;https://openalex.org/C18762648|Work (physics)|0.47278452;https://openalex.org/C183968085|Trapped ion quantum computer|0.46529567;https://openalex.org/C184779094|Atomic physics|0.4520606;https://openalex.org/C62520636|Quantum mechanics|0.3728981;https://openalex.org/C169699857|Quantum information|0.34509343;https://openalex.org/C186468114|Quantum network|0.3086819
W2042474962,Error Correcting Codes in Quantum Theory,1996-07-29,N/A,Andrew Steane,2436,https://openalex.org/C27753989|Superposition principle|0.7248142;https://openalex.org/C84114770|Quantum|0.53056026;https://openalex.org/C51003876|Quantum error correction|0.49210638;https://openalex.org/C62520636|Quantum mechanics|0.47071165;https://openalex.org/C41008148|Computer science|0.44517243;https://openalex.org/C169699857|Quantum information|0.43830618;https://openalex.org/C32022120|Interference (communication)|0.42995334;https://openalex.org/C41241483|Quantum capacity|0.42524928;https://openalex.org/C121332964|Physics|0.40912282;https://openalex.org/C33332235|Theoretical physics|0.36939928;https://openalex.org/C121864883|Statistical physics|0.3693964;https://openalex.org/C33923547|Mathematics|0.33648735;https://openalex.org/C118615104|Discrete mathematics|0.32680017;https://openalex.org/C186468114|Quantum network|0.244699;https://openalex.org/C76155785|Telecommunications|0.12052694;https://openalex.org/C127162648|Channel (broadcasting)|0.075673044
W2017077355,Quantum State Transfer and Entanglement Distribution among Distant Nodes in a Quantum Network,1997-04-21,N/A,"J. I. Cirac, P. Zoller, H. J. Kimble, Hideo Mabuchi",2086,https://openalex.org/C186468114|Quantum network|0.76240003;https://openalex.org/C121040770|Quantum entanglement|0.70757836;https://openalex.org/C121332964|Physics|0.6870326;https://openalex.org/C159317903|Photon|0.5870699;https://openalex.org/C62611344|Node (physics)|0.53889006;https://openalex.org/C761482|Transmission (telecommunications)|0.49417308;https://openalex.org/C187486625|Quantum channel|0.45375136;https://openalex.org/C15706264|Quantum state|0.4533942;https://openalex.org/C169699857|Quantum information|0.44869992;https://openalex.org/C84114770|Quantum|0.4342265;https://openalex.org/C20593774|W state|0.42145672;https://openalex.org/C62520636|Quantum mechanics|0.40150264;https://openalex.org/C184720557|Topology (electrical circuits)|0.32922384;https://openalex.org/C41008148|Computer science|0.19918734;https://openalex.org/C76155785|Telecommunications|0.06407666;https://openalex.org/C33923547|Mathematics|0.0;https://openalex.org/C114614502|Combinatorics|0.0
W1967673033,Photonic quantum technologies,2009-11-30,N/A,"Jeremy L. O’Brien, Akira Furusawa, Jelena Vučković",2083,https://openalex.org/C20788544|Photonics|0.7266384;https://openalex.org/C190463098|Quantum technology|0.6546688;https://openalex.org/C22984246|Quantum imaging|0.5751779;https://openalex.org/C95466800|Quantum key distribution|0.5614428;https://openalex.org/C89143813|Quantum sensor|0.54970694;https://openalex.org/C169699857|Quantum information|0.5409885;https://openalex.org/C5320026|Quantum information science|0.5242075;https://openalex.org/C186468114|Quantum network|0.51107705;https://openalex.org/C58053490|Quantum computer|0.5017059;https://openalex.org/C159317903|Photon|0.48720378;https://openalex.org/C41008148|Computer science|0.48144;https://openalex.org/C121332964|Physics|0.46999276;https://openalex.org/C68717125|Quantum optics|0.4502992;https://openalex.org/C84114770|Quantum|0.4372769;https://openalex.org/C190474826|Open quantum system|0.29309833;https://openalex.org/C49040817|Optoelectronics|0.26314723;https://openalex.org/C62520636|Quantum mechanics|0.22100848;https://openalex.org/C121040770|Quantum entanglement|0.1448608
W1530682388,Quantum Measurement and Control,2009-11-12,N/A,"Howard M. Wiseman, G. J. Milburn",2041,https://openalex.org/C95013731|Quantum metrology|0.7120036;https://openalex.org/C190463098|Quantum technology|0.70528;https://openalex.org/C89143813|Quantum sensor|0.65018314;https://openalex.org/C177731217|Mesoscopic physics|0.5868977;https://openalex.org/C22984246|Quantum imaging|0.54754627;https://openalex.org/C169699857|Quantum information|0.5350149;https://openalex.org/C84114770|Quantum|0.5179007;https://openalex.org/C190474826|Open quantum system|0.5170139;https://openalex.org/C186468114|Quantum network|0.4954065;https://openalex.org/C5320026|Quantum information science|0.47031203;https://openalex.org/C41008148|Computer science|0.46800533;https://openalex.org/C68717125|Quantum optics|0.46708795;https://openalex.org/C121332964|Physics|0.46414083;https://openalex.org/C58053490|Quantum computer|0.4290878;https://openalex.org/C24326235|Electronic engineering|0.32173818;https://openalex.org/C62520636|Quantum mechanics|0.3060525;https://openalex.org/C127413603|Engineering|0.23015156;https://openalex.org/C121040770|Quantum entanglement|0.1095736
W2158605123,The Physical Implementation of Quantum Computation,2000-09-01,N/A,David P. DiVincenzo,2029,https://openalex.org/C58053490|Quantum computer|0.66985536;https://openalex.org/C190463098|Quantum technology|0.57946384;https://openalex.org/C121332964|Physics|0.57637924;https://openalex.org/C169699857|Quantum information|0.55909705;https://openalex.org/C186468114|Quantum network|0.51708627;https://openalex.org/C84114770|Quantum|0.51363224;https://openalex.org/C190474826|Open quantum system|0.508914;https://openalex.org/C22984246|Quantum imaging|0.4513414;https://openalex.org/C89143813|Quantum sensor|0.44453323;https://openalex.org/C68717125|Quantum optics|0.44200698;https://openalex.org/C5320026|Quantum information science|0.44033155;https://openalex.org/C62520636|Quantum mechanics|0.36498553;https://openalex.org/C41008148|Computer science|0.3546502;https://openalex.org/C121040770|Quantum entanglement|0.12660578
W2090475034,Optical imaging by means of two-photon quantum entanglement,1995-11-01,N/A,"T. B. Pittman, Yanhua Shih, Dmitry Strekalov, Alexander V. Sergienko",1941,https://openalex.org/C121332964|Physics|0.9495816;https://openalex.org/C120665830|Optics|0.7623849;https://openalex.org/C94915269|Detector|0.5959744;https://openalex.org/C2779832538|Coincidence|0.5891574;https://openalex.org/C203103908|Spontaneous parametric down-conversion|0.5798772;https://openalex.org/C159317903|Photon|0.5559521;https://openalex.org/C22984246|Quantum imaging|0.5504913;https://openalex.org/C78336883|Aperture (computer memory)|0.5386581;https://openalex.org/C15336307|Lens (geology)|0.5293525;https://openalex.org/C68717125|Quantum optics|0.51425546;https://openalex.org/C121040770|Quantum entanglement|0.50765574;https://openalex.org/C2779843651|SIGNAL (programming language)|0.48352408;https://openalex.org/C168834538|Beam (structure)|0.4321535;https://openalex.org/C84114770|Quantum|0.33592206;https://openalex.org/C62520636|Quantum mechanics|0.14871433;https://openalex.org/C186468114|Quantum network|0.08518207;https://openalex.org/C71924100|Medicine|0.0;https://openalex.org/C204787440|Alternative medicine|0.0;https://openalex.org/C142724271|Pathology|0.0;https://openalex.org/C24890656|Acoustics|0.0;https://openalex.org/C41008148|Computer science|0.0;https://openalex.org/C199360897|Programming language|0.0
W3037776276,Quantum communication,2007-03-01,N/A,"Nicolas Gisin, Rob Thew",1844,https://openalex.org/C5320026|Quantum information science|0.7463638;https://openalex.org/C144901912|Quantum cryptography|0.6683262;https://openalex.org/C186468114|Quantum network|0.6051901;https://openalex.org/C169699857|Quantum information|0.6011061;https://openalex.org/C95466800|Quantum key distribution|0.57856464;https://openalex.org/C190463098|Quantum technology|0.5028793;https://openalex.org/C71191651|Quantum nanoscience|0.48202336;https://openalex.org/C41008148|Computer science|0.4788939;https://openalex.org/C190474826|Open quantum system|0.4674303;https://openalex.org/C121332964|Physics|0.43013075;https://openalex.org/C84114770|Quantum|0.41901845;https://openalex.org/C58053490|Quantum computer|0.41170412;https://openalex.org/C62520636|Quantum mechanics|0.31860274;https://openalex.org/C121040770|Quantum entanglement|0.17255756
