unique_id,id,title,publication_date
n53,http://example.org/paper#W2032147770,Quantum computing with realistically noisy devices,2005-03-01
n54,http://example.org/paper#W2798434869,Supervised learning with quantum-enhanced feature spaces,2019-03-13
n55,http://example.org/paper#W2093475321,Entangled states of trapped atomic ions,2008-06-01
n56,http://example.org/paper#W2060887031,Mixed-state entanglement and quantum error correction,1996-11-01
n57,http://example.org/paper#W2109741106,Quantum algorithms revisited,1998-01-08
n58,http://example.org/paper#W2024622260,Indistinguishable photons from a single-photon device,2002-10-01
n59,http://example.org/paper#W2129606687,Quantum interface between light and atomic ensembles,2010-04-05
n60,http://example.org/paper#W276931850,Quantum fields in curved space,1984-01-01
n61,http://example.org/paper#W2108067022,Manipulating the Quantum State of an Electrical Circuit,2002-05-03
n62,http://example.org/paper#W2047131277,Optical Quantum Computing,2007-12-06
n63,http://example.org/paper#W2983536868,Introductory Quantum Optics,2004-10-28
n64,http://example.org/paper#W3037737784,Quantum entanglement,2009-06-17
n65,http://example.org/paper#W1839785972,Stabilizer Codes and Quantum Error Correction,1997-05-28
n66,http://example.org/paper#W3008629526,Advances in quantum cryptography,2020-02-27
n67,http://example.org/paper#W2035993353,A One-Way Quantum Computer,2001-05-28
n68,http://example.org/paper#W2125164517,Quantum computing with trapped ions,2008-10-01
n69,http://example.org/paper#W1963919378,A subfemtotesla multichannel atomic magnetometer,2003-04-01
n70,http://example.org/paper#W2032282864,Deterministic quantum teleportation with atoms,2004-06-01
n71,http://example.org/paper#W1514675880,Linear optical quantum computing with photonic qubits,2007-01-24
n72,http://example.org/paper#W1966533239,Demonstration of a Fundamental Quantum Logic Gate,1995-12-18
n73,http://example.org/paper#W1994917526,Universal Computation by Quantum Walk,2009-05-04
n74,http://example.org/paper#W2132764286,The quantum internet,2008-06-01
n75,http://example.org/paper#W1977670750,Observation of Three-Photon Greenberger-Horne-Zeilinger Entanglement,1999-02-15
n76,http://example.org/paper#W3037776276,Quantum communication,2007-03-01
n77,http://example.org/paper#W2037522026,Manipulating quantum entanglement with atoms and photons in a cavity,2001-08-28
n78,http://example.org/paper#W1999706070,Scheme for reducing decoherence in quantum computer memory,1995-10-01
n79,http://example.org/paper#W2095410318,Heralded entanglement between solid-state qubits separated by three metres,2013-04-23
n80,http://example.org/paper#W2119046658,"Introduction to quantum noise, measurement, and amplification",2010-04-15
n81,http://example.org/paper#W2048639010,"Kitaev-Heisenberg Model on a Honeycomb Lattice: Possible Exotic Phases in Iridium Oxides<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:msub><mml:mi>A</mml:mi><mml:mn>2</mml:mn></mml:msub><mml:msub><mml:mi>IrO</mml:mi><mml:mn>3</mml:mn></mml:msub></mml:math>",2010-07-09
n82,http://example.org/paper#W2781738013,Quantum Computing in the NISQ era and beyond,2018-08-06
n83,http://example.org/paper#W2790388700,Quantum circuit learning,2018-09-10
n84,http://example.org/paper#W2488446542,Chiral quantum optics,2017-01-01
n85,http://example.org/paper#W2072456425,“Two-Photon” Coincidence Imaging with a Classical Source,2002-08-26
n86,http://example.org/paper#W2086947442,Quantum repeaters based on atomic ensembles and linear optics,2011-03-21
n87,http://example.org/paper#W2763302490,Theory of quantum error-correcting codes,1997-02-01
n88,http://example.org/paper#W2767966692,Quantum metrology with nonclassical states of atomic ensembles,2018-09-05
n89,http://example.org/paper#W2144056677,Quantum entanglement between an optical photon and a solid-state spin qubit,2010-08-01
n90,http://example.org/paper#W2092105345,Quantum Repeaters: The Role of Imperfect Local Operations in Quantum Communication,1998-12-28
n91,http://example.org/paper#W1995672555,Quantum dynamics of single trapped ions,2003-03-10
n92,http://example.org/paper#W1993122650,QUANTUM ESTIMATION FOR QUANTUM TECHNOLOGY,2009-01-01
n93,http://example.org/paper#W1970948459,Gaussian quantum information,2012-05-01
n94,http://example.org/paper#W4389703832,Introductory Quantum Optics,2023-11-30
n95,http://example.org/paper#W1623920228,Experimental quantum teleportation,1997-12-01
n96,http://example.org/paper#W2273682834,Fundamental limits of repeaterless quantum communications,2017-04-26
n97,http://example.org/paper#W2017077355,Quantum State Transfer and Entanglement Distribution among Distant Nodes in a Quantum Network,1997-04-21
n98,http://example.org/paper#W2141878472,Nitrogen-Vacancy Centers in Diamond: Nanoscale Sensors for Physics and Biology,2013-11-26
n99,http://example.org/paper#W2729982732,On-chip generation of high-dimensional entangled quantum states and their coherent control,2017-06-01
n100,http://example.org/paper#W2019112050,Quantum Games and Quantum Strategies,1999-10-11
